year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2018,1,Australian Grand Prix,albert_park,kevin_magnussen,MAG,haas,6,1:23.909,1:23.300,1:23.187
2018,1,Australian Grand Prix,albert_park,grosjean,GRO,haas,7,1:23.671,1:23.468,1:23.339
2018,1,Australian Grand Prix,albert_park,hulkenberg,HUL,renault,8,1:23.782,1:23.544,1:23.532
2018,1,Australian Grand Prix,albert_park,sainz,SAI,renault,9,1:23.529,1:23.061,1:23.577
2018,1,Australian Grand Prix,albert_park,bottas,BOT,mercedes,10,1:23.686,1:22.089,
2018,1,Australian Grand Prix,albert_park,alonso,ALO,mclaren,11,1:23.597,1:23.692,
2018,1,Australian Grand Prix,albert_park,vandoorne,VAN,mclaren,12,1:24.073,1:23.853,
2018,1,Australian Grand Prix,albert_park,perez,PER,force_india,13,1:24.344,1:24.005,
2018,1,Australian Grand Prix,albert_park,stroll,STR,williams,14,1:24.464,1:24.230,
2018,1,Australian Grand Prix,albert_park,ocon,OCO,force_india,15,1:24.503,1:24.786,
2018,1,Australian Grand Prix,albert_park,brendon_hartley,HAR,toro_rosso,16,1:24.532,,
2018,1,Australian Grand Prix,albert_park,ericsson,ERI,sauber,17,1:24.556,,
2018,1,Australian Grand Prix,albert_park,leclerc,LEC,sauber,18,1:24.636,,
2018,1,Australian Grand Prix,albert_park,sirotkin,SIR,williams,19,1:24.922,,
2018,1,Australian Grand Prix,albert_park,gasly,GAS,toro_rosso,20,1:25.295,,
2018,2,Bahrain Grand Prix,bahrain,vettel,VET,ferrari,1,1:29.060,1:28.341,1:27.958
2018,2,Bahrain Grand Prix,bahrain,raikkonen,RAI,ferrari,2,1:28.951,1:28.515,1:28.101
2018,2,Bahrain Grand Prix,bahrain,bottas,BOT,mercedes,3,1:29.275,1:28.794,1:28.124
2018,2,Bahrain Grand Prix,bahrain,hamilton,HAM,mercedes,4,1:29.396,1:28.458,1:28.220
2018,2,Bahrain Grand Prix,bahrain,ricciardo,RIC,red_bull,5,1:29.552,1:28.962,1:28.398
2018,2,Bahrain Grand Prix,bahrain,gasly,GAS,toro_rosso,6,1:30.121,1:29.836,1:29.329
2018,2,Bahrain Grand Prix,bahrain,kevin_magnussen,MAG,haas,7,1:29.594,1:29.623,1:29.358
2018,2,Bahrain Grand Prix,bahrain,hulkenberg,HUL,renault,8,1:30.260,1:29.187,1:29.570
2018,2,Bahrain Grand Prix,bahrain,ocon,OCO,force_india,9,1:30.338,1:30.009,1:29.874
2018,2,Bahrain Grand Prix,bahrain,sainz,SAI,renault,10,1:29.893,1:29.802,1:29.986
2018,2,Bahrain Grand Prix,bahrain,brendon_hartley,HAR,toro_rosso,11,1:30.412,1:30.105,
2018,2,Bahrain Grand Prix,bahrain,perez,PER,force_india,12,1:30.218,1:30.156,
2018,2,Bahrain Grand Prix,bahrain,alonso,ALO,mclaren,13,1:30.530,1:30.212,
2018,2,Bahrain Grand Prix,bahrain,vandoorne,VAN,mclaren,14,1:30.479,1:30.525,
2018,2,Bahrain Grand Prix,bahrain,max_verstappen,VER,red_bull,15,1:29.374,,
2018,2,Bahrain Grand Prix,bahrain,grosjean,GRO,haas,16,1:30.530,,
2018,2,Bahrain Grand Prix,bahrain,ericsson,ERI,sauber,17,1:31.063,,
2018,2,Bahrain Grand Prix,bahrain,sirotkin,SIR,williams,18,1:31.414,,
2018,2,Bahrain Grand Prix,bahrain,leclerc,LEC,sauber,19,1:31.420,,
2018,2,Bahrain Grand Prix,bahrain,stroll,STR,williams,20,1:31.503,,
2018,3,Chinese Grand Prix,shanghai,vettel,VET,ferrari,1,1:32.171,1:32.385,1:31.095
2018,3,Chinese Grand Prix,shanghai,raikkonen,RAI,ferrari,2,1:32.474,1:32.286,1:31.182
2018,3,Chinese Grand Prix,shanghai,bottas,BOT,mercedes,3,1:32.921,1:32.063,1:31.625
2018,3,Chinese Grand Prix,shanghai,hamilton,HAM,mercedes,4,1:33.283,1:31.914,1:31.675
2018,3,Chinese Grand Prix,shanghai,max_verstappen,VER,red_bull,5,1:32.932,1:32.809,1:31.796
2018,3,Chinese Grand Prix,shanghai,ricciardo,RIC,red_bull,6,1:33.877,1:32.688,1:31.948
2018,3,Chinese Grand Prix,shanghai,hulkenberg,HUL,renault,7,1:33.545,1:32.494,1:32.532
2018,3,Chinese Grand Prix,shanghai,perez,PER,force_india,8,1:33.464,1:32.931,1:32.758
2018,3,Chinese Grand Prix,shanghai,sainz,SAI,renault,9,1:33.315,1:32.970,1:32.819
2018,3,Chinese Grand Prix,shanghai,grosjean,GRO,haas,10,1:33.238,1:32.524,1:32.855
2018,3,Chinese Grand Prix,shanghai,kevin_magnussen,MAG,haas,11,1:33.359,1:32.986,
2018,3,Chinese Grand Prix,shanghai,ocon,OCO,force_india,12,1:33.585,1:33.057,
2018,3,Chinese Grand Prix,shanghai,alonso,ALO,mclaren,13,1:33.428,1:33.232,
2018,3,Chinese Grand Prix,shanghai,vandoorne,VAN,mclaren,14,1:33.824,1:33.505,
2018,3,Chinese Grand Prix,shanghai,brendon_hartley,HAR,toro_rosso,15,1:34.013,1:33.795,
2018,3,Chinese Grand Prix,shanghai,sirotkin,SIR,williams,16,1:34.062,,
2018,3,Chinese Grand Prix,shanghai,gasly,GAS,toro_rosso,17,1:34.101,,
2018,3,Chinese Grand Prix,shanghai,stroll,STR,williams,18,1:34.285,,
2018,3,Chinese Grand Prix,shanghai,leclerc,LEC,sauber,19,1:34.454,,
2018,3,Chinese Grand Prix,shanghai,ericsson,ERI,sauber,20,1:34.914,,
2018,4,Azerbaijan Grand Prix,baku,vettel,VET,ferrari,1,1:42.762,1:43.015,1:41.498
2018,4,Azerbaijan Grand Prix,baku,hamilton,HAM,mercedes,2,1:42.693,1:42.676,1:41.677
2018,4,Azerbaijan Grand Prix,baku,bottas,BOT,mercedes,3,1:43.355,1:42.679,1:41.837
2018,4,Azerbaijan Grand Prix,baku,ricciardo,RIC,red_bull,4,1:42.857,1:43.482,1:41.911
2018,4,Azerbaijan Grand Prix,baku,max_verstappen,VER,red_bull,5,1:42.642,1:42.901,1:41.994
2018,4,Azerbaijan Grand Prix,baku,raikkonen,RAI,ferrari,6,1:42.538,1:42.510,1:42.490
2018,4,Azerbaijan Grand Prix,baku,ocon,OCO,force_india,7,1:43.021,1:42.967,1:42.523
2018,4,Azerbaijan Grand Prix,baku,perez,PER,force_india,8,1:43.992,1:43.366,1:42.547
2018,4,Azerbaijan Grand Prix,baku,hulkenberg,HUL,renault,9,1:43.746,1:43.232,1:43.066
2018,4,Azerbaijan Grand Prix,baku,sainz,SAI,renault,10,1:43.426,1:43.464,1:43.351
2018,4,Azerbaijan Grand Prix,baku,stroll,STR,williams,11,1:44.359,1:43.585,
2018,4,Azerbaijan Grand Prix,baku,sirotkin,SIR,williams,12,1:44.261,1:43.886,
